	name	encoding
0	dada	"[-0.20398471  0.17168184  0.06397434 -0.09586698 -0.00202205 -0.00607463
  0.02748433 -0.05711313  0.14805387 -0.01182812  0.23679575  0.03706625
 -0.26121902 -0.11313909 -0.02042896  0.13964683 -0.15392026 -0.1117411
 -0.07221429 -0.05965319  0.06048807  0.05221044 -0.0327219  -0.00906157
 -0.0676348  -0.31914413 -0.06218533 -0.0623808   0.00314879 -0.05091445
  0.09245709 -0.02766291 -0.20267259 -0.05914343 -0.02840099  0.09218778
 -0.08525595 -0.05856783  0.14830892  0.02007437 -0.15205276 -0.04361574
  0.0452216   0.29449818  0.13312368  0.01392045  0.01358143 -0.05118983
  0.01443127 -0.19911051  0.04341729  0.17229091  0.10987592  0.08952491
  0.01503001 -0.12145504  0.09107407  0.09894212 -0.22938946  0.00383465
  0.10509843 -0.09687836 -0.06594324 -0.03859228  0.2041143   0.0939518
 -0.13366058 -0.11885055  0.16978826 -0.12595057 -0.06575888  0.01392419
 -0.10936642 -0.17095461 -0.30800748  0.09385435  0.33316183  0.1445566
 -0.15254627  0.00939605 -0.10431635  0.03499939  0.0675442   0.07489483
 -0.11043886 -0.00342518 -0.09317482 -0.01788461  0.13093112  0.06185245
 -0.0767074   0.17355888  0.03265228 -0.03887817  0.05430119  0.03305686
 -0.03319104 -0.02397982 -0.09229135 -0.00064534  0.02256104 -0.17316456
 -0.02010355  0.13838692 -0.18194188  0.19188723  0.05810084  0.02369661
  0.02473001  0.0324189  -0.07493989 -0.0572877   0.14390074 -0.18699419
  0.23467897  0.21085003  0.01354789  0.14216927  0.12024419  0.13344644
 -0.07206139 -0.01534067 -0.17615096 -0.08974773  0.00715886 -0.02353747
  0.10159488  0.05885207]"
1	dada	"[-0.11937276  0.18816859  0.11224344 -0.08023378 -0.02450805  0.02071257
 -0.01305408 -0.026904    0.16439311 -0.04080739  0.29172966  0.01924723
 -0.24996589 -0.08571245 -0.06234702  0.1423409  -0.15200554 -0.09831357
 -0.09893332 -0.03494282  0.03476002  0.10305427 -0.04028718  0.00736517
 -0.07881945 -0.3720772  -0.03559882 -0.04513168 -0.00102671 -0.0603561
  0.02794761  0.03190738 -0.17963766 -0.07098891  0.00540248  0.04174471
 -0.08566662 -0.05318389  0.15037555  0.09216693 -0.12642619  0.06189089
  0.03374526  0.33432773  0.19584529  0.06276737  0.00799061 -0.09886005
  0.04350607 -0.26408064  0.01583762  0.19964665  0.11164792  0.1033593
  0.07512408 -0.11019968  0.0617004   0.05190582 -0.25506121  0.02975465
  0.02799702 -0.06330339  0.00264364 -0.06911207  0.18614529  0.09610768
 -0.09829028 -0.12919247  0.12219218 -0.16548146 -0.09635848  0.05123921
 -0.09122146 -0.18010184 -0.28616676  0.06673352  0.36206105  0.22298819
 -0.17771384  0.03627354 -0.09445328 -0.03760212  0.09039034  0.04747801
 -0.08157785 -0.06684828 -0.05528454 -0.0105554   0.17811432  0.04516105
 -0.0923432   0.24014148  0.02379541 -0.02149708  0.04407786 -0.01416517
 -0.06082126  0.02099523 -0.10022864 -0.02406398 -0.02134516 -0.10477346
  0.01927589  0.08658811 -0.20598888  0.16618985  0.01983486  0.00870343
  0.04971279  0.04782037 -0.1054218  -0.02597426  0.15707651 -0.26340804
  0.26079929  0.18902104  0.03634056  0.13447031  0.11821599  0.07192271
 -0.04034957 -0.02994227 -0.10015637 -0.11820644  0.0172462  -0.02492682
  0.12382097  0.02901703]"
2	dada	"[-1.75886646e-01  1.67981237e-01  6.30101562e-02 -8.21075290e-02
 -5.95834553e-02 -4.10897136e-02 -1.19511876e-02 -9.30533633e-02
  1.30292431e-01 -5.81143685e-02  2.65350908e-01  8.49355478e-03
 -2.37301096e-01 -7.94091150e-02 -9.03219059e-02  1.34792119e-01
 -1.67084292e-01 -8.11051205e-02 -3.44325304e-02 -3.78314704e-02
  1.05141900e-01  7.92433545e-02 -7.53518287e-03 -1.52583662e-02
 -6.00431636e-02 -3.06982547e-01 -8.52785185e-02 -3.23309675e-02
  7.68493265e-02 -2.83616502e-02  2.52436139e-02  1.35548590e-02
 -2.16470912e-01 -6.09421656e-02 -1.93525329e-02  8.61657187e-02
 -8.22563767e-02 -3.85260396e-02  1.86873183e-01  4.68755886e-02
 -1.53170705e-01  3.49241793e-02  8.80020484e-03  3.22720617e-01
  1.57499418e-01  3.81868109e-02  1.77119058e-02 -9.15193409e-02
  4.04680483e-02 -2.13796169e-01  4.52603959e-02  1.88681081e-01
  1.22047357e-01  8.93698484e-02 -1.62314791e-02 -1.39970794e-01
  9.92580280e-02  8.39086026e-02 -2.11030871e-01  4.89138179e-02
  1.29112333e-01 -1.16831914e-01  1.63226482e-03 -1.74485855e-02
  1.97754025e-01  6.15665056e-02 -1.07353099e-01 -1.19209260e-01
  1.64064050e-01 -1.49411738e-01 -6.30713254e-02  4.58184332e-02
 -1.12929814e-01 -1.80469602e-01 -2.97602743e-01  8.21681917e-02
  4.03639734e-01  2.00542182e-01 -1.63567185e-01  2.43872385e-02
 -8.62396732e-02  2.07679942e-02  1.57991871e-01  9.15751755e-02
 -8.18748474e-02 -3.32030058e-02 -1.32435814e-01 -2.90425215e-03
  1.80325896e-01  3.26205045e-04 -1.03323139e-01  2.28232071e-01
  7.44255707e-02  4.32369262e-02  4.89454493e-02  2.75018420e-02
 -3.77258062e-02 -1.13111064e-02 -8.20789039e-02  2.51374412e-02
 -3.29063367e-03 -1.56460628e-01 -2.30070893e-02  1.45932987e-01
 -1.47792310e-01  2.05839977e-01  2.96679251e-02  3.34190689e-02
 -9.88664292e-03  1.91319026e-02 -6.87063709e-02 -3.64417098e-02
  1.15311772e-01 -1.97175220e-01  2.68443942e-01  2.13420868e-01
  3.04019731e-02  1.65972233e-01  1.36922330e-01  1.11477643e-01
 -3.54186967e-02 -3.33900712e-02 -1.51697069e-01 -1.14766963e-01
  1.37276659e-02 -2.42003687e-02  1.35648057e-01  6.06030673e-02]"
3	dada	"[-0.23559691  0.1750119   0.08208738 -0.06239362 -0.00166241 -0.02034223
 -0.00623176 -0.0599926   0.1380522  -0.04493583  0.26625082  0.02589193
 -0.24860804 -0.09000602 -0.05678134  0.14755368 -0.12092187 -0.10795003
 -0.10444076 -0.05700795  0.06733795  0.04732035 -0.02270455 -0.02157357
 -0.1198526  -0.351376   -0.07041454 -0.03801636 -0.01936656 -0.08505784
  0.06950928 -0.04581461 -0.2295783  -0.06807811 -0.04482429  0.09422018
 -0.07598573 -0.04682438  0.13128114  0.01290776 -0.17192177  0.03539819
  0.05048895  0.28681272  0.13716891  0.04406944  0.01048747 -0.09516943
  0.02387762 -0.20994964  0.02611057  0.14455625  0.09834373  0.09349252
  0.03017143 -0.09961382  0.08553112  0.09857932 -0.19502801 -0.00209328
  0.06946812 -0.09592897 -0.0612537  -0.03699362  0.17712539  0.09679805
 -0.11673839 -0.10474509  0.15841097 -0.11532083 -0.05647254  0.01940873
 -0.07116479 -0.20754641 -0.3194164   0.11970038  0.35977584  0.15688206
 -0.17918718  0.05417822 -0.07519621  0.04510145  0.08954768  0.07565411
 -0.0965779  -0.02259681 -0.09097526  0.00710537  0.16292009  0.05045932
 -0.07588897  0.15907572  0.03565214  0.0041705   0.06363804  0.05471465
 -0.08339736 -0.00428057 -0.08909479  0.01498802  0.05669466 -0.10800714
 -0.03019127  0.10139062 -0.15084776  0.20738006  0.05251898  0.00444272
  0.04196118  0.06101392 -0.05232911 -0.0410109   0.09477459 -0.21748407
  0.27686894  0.21508351 -0.02335378  0.17169705  0.15882739  0.11136414
 -0.04397376  0.039027   -0.17025676 -0.12266586  0.0369267  -0.03013007
  0.12298453  0.04021218]"
4	dada	"[-0.11487207  0.1692434   0.09137432 -0.0842123  -0.00193005 -0.00343995
  0.01207251 -0.07315849  0.11153801 -0.06897928  0.29264757  0.01315048
 -0.24498887 -0.14935583 -0.01451109  0.14777173 -0.12743747 -0.12689617
 -0.08052964 -0.04292403  0.08941153  0.03860726 -0.04596008 -0.02618854
 -0.09986937 -0.33255178 -0.06587587 -0.0440354   0.0129557  -0.07987956
  0.03795602  0.01768289 -0.21097594 -0.04919288 -0.0116999   0.08827259
 -0.09591793 -0.07129823  0.13053446  0.03254621 -0.14290839  0.03114821
  0.00487444  0.29691449  0.16343164 -0.00355132  0.00859323 -0.06115792
  0.03073513 -0.20282547 -0.00499926  0.17553976  0.09069254  0.1359129
  0.03668389 -0.09535564  0.10273145  0.03205295 -0.22608428 -0.01931514
  0.05497267 -0.12849955 -0.05429167 -0.07228414  0.18157697  0.07467543
 -0.1070331  -0.14768882  0.16766667 -0.12978473 -0.0859365   0.02134388
 -0.12384158 -0.15467553 -0.27105826  0.07676838  0.32331535  0.19682105
 -0.22569332  0.05182955 -0.08136092  0.03020834  0.1149819   0.07062794
 -0.01996423  0.02216909 -0.08946611  0.00387963  0.14990266 -0.00579498
 -0.09248552  0.20787014  0.01446009  0.01436774  0.08928582 -0.0200796
 -0.03237179  0.00290508 -0.11851285 -0.00883316  0.01983313 -0.13973819
 -0.02585419  0.11776981 -0.12361434  0.22103699  0.05083229  0.05503993
  0.01768715  0.03601358 -0.09323628 -0.03620125  0.10918321 -0.22939926
  0.28547278  0.2066634   0.01369964  0.10984258  0.13156191  0.10336173
 -0.05854352 -0.03033487 -0.16582227 -0.12163748  0.01731163 -0.0017651
  0.09216946  0.0168155 ]"
5	dada	"[-0.15025657  0.19902213  0.07953802 -0.09513026 -0.03444785 -0.0162925
 -0.01006874 -0.09103623  0.14496765 -0.07231317  0.29740497  0.0448193
 -0.21360105 -0.11733949 -0.10358328  0.1125742  -0.14422251 -0.15643154
 -0.04065739 -0.01815118  0.09223239  0.07835407 -0.05410411 -0.0275967
 -0.04467179 -0.31977838 -0.06718484 -0.06504472  0.06582096 -0.06307679
  0.04495621  0.00281971 -0.1998381  -0.05110574 -0.02005782  0.08899244
 -0.08565672 -0.02897092  0.1581109   0.02240387 -0.14791223  0.01369969
  0.00148508  0.3081145   0.16130431  0.03523937  0.00283356 -0.09729046
  0.03194407 -0.20452617  0.0714525   0.17313839  0.13695933  0.11582989
  0.02157992 -0.13605373  0.06153977  0.06629918 -0.20232412  0.02638021
  0.08426844 -0.11167468 -0.03823544 -0.0663345   0.19558331  0.07027314
 -0.09156887 -0.13634956  0.21071504 -0.15631837 -0.10249625  0.05571742
 -0.09151901 -0.14174916 -0.24109709  0.08651566  0.36118823  0.2063078
 -0.15371621  0.03370092 -0.07435418  0.01736939  0.09659085  0.04201853
 -0.07783493 -0.02012405 -0.10148758 -0.01803592  0.17369673  0.03325352
 -0.10120923  0.19207355  0.00836069  0.04950663  0.06567664 -0.01971829
  0.00376808  0.02435178 -0.09915002  0.01265636 -0.01576677 -0.12788196
 -0.04002076  0.13331732 -0.11389604  0.17621244  0.0275852   0.06388998
  0.01782351  0.02960588 -0.07127784 -0.0423965   0.14439878 -0.19774452
  0.30598769  0.17352548  0.05792989  0.13993482  0.14284776  0.08906509
 -0.02352047 -0.08826315 -0.21098182 -0.10353535  0.03459569 -0.04873465
  0.10707584  0.05326671]"
6	dada	"[-0.19567353  0.19993655  0.08966447 -0.08034833 -0.02853554 -0.01210748
  0.01941342 -0.07602708  0.10583869 -0.04616937  0.23871097  0.02924206
 -0.25058201 -0.11927222 -0.02627639  0.14251289 -0.15424515 -0.13510166
 -0.07271788 -0.05685496  0.06932099  0.06547816 -0.06366829 -0.02402262
 -0.05643892 -0.30545112 -0.06173097 -0.05588771  0.02349215 -0.03928411
  0.06386425 -0.01984606 -0.18231855 -0.04169312 -0.01490534  0.05948213
 -0.08217329 -0.04736358  0.1430037   0.02054487 -0.15900058  0.00693607
  0.03956459  0.29287112  0.15176371  0.02340581  0.0119788  -0.06703337
  0.06106272 -0.17764477  0.022332    0.19651581  0.09161264  0.10856086
  0.02562096 -0.15137589  0.08600279  0.07033521 -0.2288301   0.02167394
  0.08743941 -0.10445185 -0.03492565 -0.05641059  0.13847353  0.06654634
 -0.09020275 -0.17210522  0.1848579  -0.15377064 -0.06861788  0.0520783
 -0.13077028 -0.16758846 -0.25691998  0.07403867  0.32915252  0.18691976
 -0.13135225  0.0058727  -0.06334844 -0.0065649   0.09013564  0.07064277
 -0.07122457 -0.03006058 -0.09025428 -0.01352532  0.16276887  0.04823668
 -0.07814594  0.19380297  0.03244486 -0.02168929  0.03775762 -0.00097296
 -0.04152627  0.01088371 -0.08729329 -0.00446706 -0.02443303 -0.17727178
 -0.02307552  0.12385295 -0.14770921  0.20360477  0.03530718  0.07261074
 -0.05091723  0.02403937 -0.07188045  0.00341052  0.14014855 -0.15503821
  0.28029567  0.218288    0.03885364  0.11131544  0.11836514  0.08746204
 -0.05355817 -0.04837257 -0.18569176 -0.10948866  0.00704766 -0.04962982
  0.10273106  0.05170641]"
7	dada	"[-1.78770036e-01  1.78553343e-01  6.18257448e-02 -6.84039965e-02
 -4.82552461e-02 -1.22072697e-02 -3.21258567e-02 -7.61561021e-02
  1.42323986e-01 -8.49786773e-03  2.56553352e-01  4.90095653e-02
 -2.55450368e-01 -1.26609042e-01 -5.89747317e-02  1.31233975e-01
 -1.25409603e-01 -1.19779415e-01 -8.70936289e-02 -5.68733253e-02
  1.14015661e-01  9.08886194e-02 -2.87936684e-02 -9.99829546e-03
 -1.11607626e-01 -3.61038297e-01 -5.84395751e-02 -3.59464139e-02
 -5.99934068e-03 -6.73514828e-02  6.00638315e-02  3.20957717e-03
 -2.04501420e-01 -8.89124051e-02  2.03318633e-02  1.48622513e-01
 -7.51450881e-02 -5.56456335e-02  1.39632240e-01  3.72517109e-02
 -1.60538524e-01  1.94750018e-02  4.49993983e-02  3.16078335e-01
  1.42008066e-01  4.33555022e-02  3.37323919e-02 -6.72130659e-02
  3.09452266e-02 -2.32404903e-01  3.03535834e-02  2.03034595e-01
  8.85700285e-02  8.54022279e-02  5.79386428e-02 -1.04212120e-01
  9.09849852e-02  9.85607132e-02 -2.27299571e-01  1.15533266e-02
  1.00529142e-01 -1.37879431e-01 -4.51011732e-02 -6.48450032e-02
  1.66187212e-01  7.17148930e-02 -9.42969993e-02 -1.13514036e-01
  1.67332143e-01 -1.54136837e-01 -9.43195596e-02  2.49885935e-02
 -9.25633758e-02 -1.84228867e-01 -3.32318783e-01  7.68538415e-02
  3.87231410e-01  1.93722069e-01 -1.78516522e-01  3.56529206e-02
 -7.58215785e-02  4.97230254e-02  9.18216705e-02  2.36416031e-02
 -8.31709802e-02  9.47716366e-03 -1.29979104e-01 -6.07948750e-05
  1.96279198e-01  5.55513725e-02 -5.38181588e-02  2.28894010e-01
  6.34994432e-02 -7.48809334e-03  1.02531932e-01  3.20270024e-02
 -3.76336202e-02 -3.70567702e-02 -1.02173656e-01  1.37015674e-02
  3.35954167e-02 -1.83579564e-01  6.45914767e-03  1.12016857e-01
 -1.83158651e-01  1.60745487e-01  2.63178907e-02  1.55079681e-02
  2.03711782e-02  3.38817164e-02 -1.10192172e-01 -6.19493946e-02
  1.61827803e-01 -2.17780411e-01  2.46991798e-01  2.34234527e-01
  2.48750728e-02  1.56886593e-01  1.35564595e-01  1.17128685e-01
 -7.41441920e-02 -4.85278629e-02 -1.39902562e-01 -1.42683163e-01
 -1.01035032e-02 -1.95712894e-02  9.04233530e-02  5.61062843e-02]"
8	dada	"[-0.17929226  0.20112741  0.10288692 -0.07935519  0.02811986 -0.0678418
  0.04167526 -0.05377025  0.13670202 -0.01568034  0.30825251  0.03806893
 -0.23205504 -0.14501102 -0.0441269   0.14895278 -0.16390043 -0.09160731
 -0.10937954 -0.05145069  0.08271546  0.06071647 -0.02374438 -0.02897984
 -0.06848124 -0.3319554  -0.05141279 -0.07004973  0.01836615 -0.10266042
  0.06883198 -0.05406474 -0.21397623 -0.08250709 -0.03094393  0.0450518
 -0.10635973 -0.09402293  0.17732219  0.05789461 -0.149051    0.01871081
  0.03527039  0.30385154  0.16952248  0.00550996 -0.00153805 -0.08024603
  0.07782263 -0.19247504  0.03247054  0.15015867  0.11936115  0.10478216
  0.05187667 -0.10039969  0.07136279  0.04985795 -0.24269715 -0.00614831
  0.08169772 -0.09289315 -0.05589428 -0.05624783  0.16119103  0.0789239
 -0.10971384 -0.11535826  0.1754542  -0.1286467  -0.05179853  0.03551066
 -0.09246624 -0.16433033 -0.27682334  0.10259391  0.3293986   0.15762722
 -0.15967999 -0.00514999 -0.11308683 -0.00412595  0.07457589  0.06598054
 -0.07952856  0.00226713 -0.08790537 -0.0091012   0.15104385  0.03985924
 -0.10289086  0.20557477  0.01024237 -0.00820162  0.0509798  -0.0326479
 -0.07401547  0.00364013 -0.0919321  -0.00494368  0.01553743 -0.15598008
 -0.02685665  0.11585394 -0.13543689  0.1560612   0.06196597  0.03792881
  0.02044095  0.04058707 -0.10237674 -0.06379877  0.09801678 -0.17174287
  0.29532903  0.18689671  0.03088417  0.10581765  0.13435027  0.08593725
 -0.05340771 -0.01080977 -0.14957507 -0.08789379  0.01957625  0.00713379
  0.13004187  0.01794467]"
